TERRITORY_ID,NAME_HTML,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
MK002,Istocen,2274.2,1975.3,2093.74,2167.46,2364.26,2305.55,2731.1,2873.36,3249.73,3326.05,3870.48,3978.53,3783.78,3811.14,4044.01,4117.04,4173.44,4431.11,4566.15,4670.18,4523.81,5168.84,5731.09
MK003,Jugozapaden,2560.44,2286.25,2351.13,2139.34,2422.49,2232.44,2604.98,2604.63,3017.88,2662.38,2969.06,3093.24,2991.8,3002.01,3131.08,3456.02,3484.94,3645.56,3684.21,3713.78,3519.03,4403.85,5055.15
MK004,Jugoistocen,2544.61,2457.55,2516.95,2711.08,2874.19,3357.58,3158.62,3506.76,3351.67,3672.31,4164.67,4456.99,4427.01,4476.73,5036.14,5125.4,5364.28,5339.9,5243.39,5364.25,4994.49,5346.82,5950.09
MK005,Pelagoniski,3522.45,3509.3,3660.84,3921.49,3711.95,4306.09,3444.46,3703.59,4040.87,4063.29,4155.7,3978.96,3833.67,4086.01,4172.38,4234.16,4430.17,4411.67,4753.52,4981.7,4743.3,4846.84,5172.13
MK006,Poloski,1569.62,1364.35,1469.73,1673.15,1581.44,1485.88,1811.21,1803.33,1950.37,1917.73,1968.53,2022.69,1884.52,1993.61,1942.37,1977.95,2079.63,2147.01,2184.76,2296.56,2208.43,2548.33,2983.52
MK007,Severoistocen,1978.69,1709.51,1708.35,1803.22,1788.97,2065.63,1901.34,1851.72,2463.32,2123.15,2170.88,2588.62,2581.48,2544.4,2463.67,2665.43,2640.93,2660.45,2704.51,2731.14,2594.98,2940.44,3246.86
MK008,Skopski,4408.91,4464.7,4420.14,4278.17,4660.42,4678.14,5236.76,5798.79,5797.66,5830.16,5671.02,5666.78,5755.99,5860.51,6068.35,6280.0,6457.08,6448.62,6636.81,6918.33,6634.13,7141.83,7504.15
RS110,Београдска област,3939.67,4389.93,5141.18,5575.5,6555.63,6893.82,7453.83,8218.7,8908.94,8486.02,8510.25,8456.32,8506.24,8717.0,8194.36,8474.14,8805.91,9022.66,9603.95,10169.83,10049.81,10497.2,11211.33
RS121,Западнобачка област,2637.56,2862.21,2767.39,2722.86,3005.36,3183.78,3259.17,3507.88,3758.95,3441.44,3515.07,3869.3,3869.76,3688.29,3664.26,3985.31,4072.78,4258.96,4096.11,4278.18,4311.16,4690.02,5390.1
RS122,Јужнобанатска област,2805.08,3074.97,3058.58,3030.89,3295.51,3507.24,3583.13,3859.12,4044.63,3751.29,3825.91,4110.87,4145.31,4158.01,4273.91,4255.51,4668.47,4763.46,5117.07,5313.7,5325.66,5767.17,6528.95
