TERRITORY_ID,NUTS2_ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,ln_edu_2000,ln_edu_2001,ln_edu_2002,ln_edu_2003,ln_edu_2004,ln_edu_2005,ln_edu_2006,ln_edu_2007,ln_edu_2008,ln_edu_2009,ln_edu_2010,ln_edu_2011,ln_edu_2012,ln_edu_2013,ln_edu_2014,ln_edu_2015,ln_edu_2016,ln_edu_2017,ln_edu_2018,ln_edu_2019,ln_edu_2020,ln_edu_2021,ln_edu_2022
HR036,HR03,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.8,19.2,21.1,19.8,20.6,21.6,22.7,24.7,22.8,23.7,26.7,27.1,26.5,24.9,25.1,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8792,2.9549,3.0493,2.9857,3.0253,3.0727,3.1224,3.2068,3.1268,3.1655,3.2847,3.2995,3.2771,3.2149,3.2229
HR037,HR03,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.8,19.2,21.1,19.8,20.6,21.6,22.7,24.7,22.8,23.7,26.7,27.1,26.5,24.9,25.1,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8792,2.9549,3.0493,2.9857,3.0253,3.0727,3.1224,3.2068,3.1268,3.1655,3.2847,3.2995,3.2771,3.2149,3.2229
HR050,HR05,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9,41.4,43.8,42.8,43.1,43.9,44.5,3.661,3.661,3.661,3.661,3.661,3.661,3.661,3.661,3.661,3.661,3.661,3.661,3.661,3.661,3.661,3.661,3.661,3.7233,3.7796,3.7565,3.7635,3.7819,3.7955
HR061,HR06,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,18.0,18.8,18.0,17.4,18.1,20.1,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8904,2.9339,2.8904,2.8565,2.8959,3.0007
HR062,HR06,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,18.0,18.8,18.0,17.4,18.1,20.1,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8904,2.9339,2.8904,2.8565,2.8959,3.0007
HR063,HR06,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,18.0,18.8,18.0,17.4,18.1,20.1,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8904,2.9339,2.8904,2.8565,2.8959,3.0007
HR064,HR06,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,18.0,18.8,18.0,17.4,18.1,20.1,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8904,2.9339,2.8904,2.8565,2.8959,3.0007
HR065,HR06,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,18.0,18.8,18.0,17.4,18.1,20.1,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8904,2.9339,2.8904,2.8565,2.8959,3.0007
SI031,SI03,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,21.2,22.3,23.6,24.8,26.0,26.8,28.2,27.9,28.5,30.8,35.3,35.7,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,3.054,3.1046,3.1612,3.2108,3.2581,3.2884,3.3393,3.3286,3.3499,3.4275,3.5639,3.5752
SI032,SI03,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,21.2,22.3,23.6,24.8,26.0,26.8,28.2,27.9,28.5,30.8,35.3,35.7,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,2.9704,3.054,3.1046,3.1612,3.2108,3.2581,3.2884,3.3393,3.3286,3.3499,3.4275,3.5639,3.5752
