VERSIONS,LEVEL_ID,TERRITORY_ID,NAME_HTML,UNIT,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
2021,3,AT113,Südburgenland,EUR2015,13127.5,13133.62,13166.99,12883.0,12806.31,12782.17,13313.63,13361.71,14205.94,14628.09,15453.65,16132.47,16388.08,16570.26,17419.92,16063.44,16756.62,17553.98,18570.95,19817.64,21555.69,22162.25,23234.99,22895.03,22535.72,22468.69,22204.55,23357.3,23780.65,23452.16,24157.27,24690.51,24584.49,24299.94,24770.04,24898.09,25071.16,26108.14,26347.52,26470.28,24350.96,24882.02,25802.2,26519.76,26243.91,26439.08,26787.12
2021,3,AT121,Mostviertel-Eisenwurzen,EUR2015,16182.29,15928.85,16338.48,16464.25,16625.12,16681.62,17242.42,17353.13,18102.67,18704.4,19774.29,20373.33,20648.83,20563.82,21592.86,21006.33,21781.55,22834.74,23973.73,24737.46,25856.91,25987.79,25369.27,25648.35,26408.08,26688.37,27999.58,29494.66,30304.26,29015.46,28881.93,30034.03,30330.62,30318.1,30468.13,30829.53,31074.95,32842.21,32855.46,33465.18,31400.75,31718.37,32744.3,33624.94,33274.96,33522.54,33964.16
2021,3,AT122,Niederösterreich-Süd,EUR2015,16971.89,16737.08,17174.97,17293.67,17444.44,17462.06,18005.58,18060.45,18761.1,19298.0,20292.67,20786.73,20919.64,20681.13,21548.95,20515.02,21109.57,22204.54,23523.7,23908.67,24704.21,25011.19,24901.41,25066.7,25485.75,26061.78,26525.23,28084.0,28713.99,27396.77,27961.5,28483.41,28692.61,28821.58,29463.52,29302.42,28901.71,29843.94,30643.85,31046.82,28982.38,29041.72,29903.49,30657.56,30338.8,30564.51,30966.98
2021,3,AT123,Sankt Pölten,EUR2015,21759.4,21493.17,22098.47,22305.92,22553.2,22652.93,23424.9,23579.12,24587.9,25398.63,26815.86,27616.09,27997.16,27872.43,29254.5,28704.45,29325.51,30886.93,32131.0,32707.32,33061.52,33709.97,33881.92,34681.18,34653.06,35746.04,36645.3,38355.19,39699.88,39402.97,39916.95,40632.88,40460.81,40630.28,40245.84,41658.19,41700.13,42420.2,41918.61,42413.42,40922.96,40980.32,42056.88,43045.67,42598.02,42915.09,43480.46
2021,3,AT124,Waldviertel,EUR2015,15052.72,14856.7,15266.24,15395.54,15556.29,15605.63,16121.11,16207.84,16882.31,17411.73,18359.97,18837.2,18970.58,18772.53,19572.63,19246.91,19694.12,20485.45,21726.4,22295.61,22592.3,22905.39,23141.22,23323.15,24171.54,24008.47,24296.41,25162.63,26455.04,25510.8,26021.3,26785.32,26709.14,27081.23,27441.09,27544.31,28036.98,28686.91,29471.44,30152.13,29343.94,30427.73,31539.63,32465.36,32127.81,32366.86,32793.31
2021,3,AT125,Weinviertel,EUR2015,13480.54,13268.26,13567.36,13611.4,13694.32,13663.71,14051.25,14058.53,14581.26,14963.8,15710.82,16050.48,16091.02,15844.35,16448.83,15768.36,16182.62,16635.13,17745.61,18335.06,17922.29,17890.92,17751.01,18011.04,18493.31,17949.47,18589.57,19811.75,20418.15,20010.5,19973.3,20895.98,19954.55,20775.79,20821.1,21295.85,21946.6,22376.49,22598.67,23176.37,22686.78,24299.78,25027.97,25679.6,25412.44,25601.61,25938.88
2021,3,AT126,Wiener Umland/Nordteil,EUR2015,14933.62,14777.04,15188.21,15329.1,15502.88,15573.94,16115.11,16232.09,16947.04,17522.45,18530.13,19101.77,19376.34,19305.22,20279.21,20081.2,20623.98,21495.69,21990.15,22470.37,22621.14,22926.64,22946.45,22995.06,24424.97,24206.71,25360.32,26331.58,28427.23,27205.87,27177.4,28546.82,28564.45,28763.36,28317.23,27067.33,26751.22,27111.34,27504.41,28013.57,26961.87,28643.03,29420.73,30119.3,29806.05,30027.72,30423.26
2021,3,AT127,Wiener Umland/Südteil,EUR2015,22571.34,22505.86,23365.83,23812.28,24305.5,24625.69,25694.18,26085.84,27432.36,28561.6,30406.27,31542.67,32170.15,32229.27,34028.73,34481.86,35500.6,37295.27,38795.94,40464.78,43604.8,41342.22,41349.27,40761.39,43062.32,43292.54,44631.68,46478.77,46787.18,45423.02,45020.46,45251.47,44819.77,43952.46,44939.63,46060.17,46063.46,47845.25,49487.18,50865.21,43028.8,45345.94,46566.49,47693.83,47197.51,47548.52,48174.83
2021,3,AT130,Wien,EUR2015,32623.99,32180.21,33623.71,35919.43,36086.04,36724.38,38503.57,39819.59,40270.77,40586.92,40429.5,40297.99,40460.44,41477.44,40721.59,48392.01,47925.45,46750.86,47338.87,48878.83,49290.37,49324.95,49987.64,48993.09,48823.61,49102.2,50317.27,51231.82,51255.61,50348.5,50731.63,51299.67,50679.72,49724.62,48686.11,47990.58,48399.7,47925.25,49056.54,49134.53,45736.12,47215.79,48262.28,47583.67,47088.7,47439.16,48064.06
2021,3,AT211,Klagenfurt-Villach,EUR2015,25444.86,25495.52,25712.86,25844.83,26255.99,26217.32,26720.68,26353.86,27197.41,28951.31,29995.82,31295.0,31406.71,30936.23,31879.19,30454.35,31413.39,31917.5,33274.86,34675.21,34523.77,34619.86,35173.44,35408.77,36710.67,37494.39,37786.45,39554.86,40027.99,37866.71,39146.16,40559.55,39826.23,39204.19,39163.4,38717.38,38505.11,40070.66,41338.54,41681.36,39834.91,42120.03,44446.97,43089.77,42641.45,42958.71,43524.61
