Year;Country;Region_Code;Region_Name;Level;Indicator;Value;Data_Type;Notes
1996;HR;HR037;Dubrovacko-neretvanska zupanija;3;KIS Value;23,94;Actual;
1996;HR;HR050;Grad Zagreb;3;KIS Value;284,16;Actual;
1996;HR;HR061;Me?imurska županija;3;KIS Value;13,64;Actual;
1996;HR;HR062;Varaždinska županija;3;KIS Value;25,58;Actual;
1996;HR;HR063;Koprivni?ko-križeva?ka županija;3;KIS Value;13,32;Actual;
1996;HR;HR064;Krapinsko-zagorska županija;3;KIS Value;16,32;Actual;
1996;HR;HR065;Zagreba?ka županija;3;KIS Value;29,64;Actual;
1996;RS;RS110;?????????? ??????;3;KIS Value;544,16;Actual;
1996;RS;RS121;???????????? ??????;3;KIS Value;24,74;Actual;
1996;RS;RS122;????????????? ??????;3;KIS Value;41,44;Actual;
1996;RS;RS123;?????????? ??????;3;KIS Value;135,58;Actual;
1996;RS;RS124;??????????????? ??????;3;KIS Value;21,1;Actual;
1996;RS;RS125;???????????? ??????;3;KIS Value;29,96;Actual;
1996;RS;RS126;?????????????? ??????;3;KIS Value;25,48;Actual;
1996;RS;RS127;??????? ??????;3;KIS Value;23,08;Actual;
1996;RS;RS211;??????????? ??????;3;KIS Value;37,4;Actual;
1996;RS;RS212;?????????? ??????;3;KIS Value;23,08;Actual;
1996;RS;RS213;????????? ??????;3;KIS Value;32,88;Actual;
1996;RS;RS214;????????? ??????;3;KIS Value;23,58;Actual;
1996;RS;RS215;?????????? ??????;3;KIS Value;30,22;Actual;
1996;RS;RS216;???????? ??????;3;KIS Value;26,66;Actual;
1996;RS;RS217;????? ??????;3;KIS Value;34,86;Actual;
1996;RS;RS218;?????????? ??????;3;KIS Value;71,82;Actual;
1996;RS;RS221;?????? ??????;3;KIS Value;19,44;Actual;
1996;RS;RS222;??????????? ??????;3;KIS Value;21,7;Actual;
1996;RS;RS223;?????????? ??????;3;KIS Value;24,08;Actual;
1996;RS;RS224;?????????? ??????;3;KIS Value;29,94;Actual;
1996;RS;RS225;???????? ??????;3;KIS Value;59,64;Actual;
1996;RS;RS226;???????? ??????;3;KIS Value;11,06;Actual;
1996;RS;RS227;?????????? ??????;3;KIS Value;28,36;Actual;
1996;RS;RS228;??????? ??????;3;KIS Value;14,56;Actual;
1996;RS;RS229;???????? ??????;3;KIS Value;10,04;Actual;
1996;RS;RSZZZ;Extra regio (RS);3;KIS Value;0,57;Actual;
1996;SI;SI031;Pomurska;3;KIS Value;17,52;Actual;
1996;SI;SI032;Podravska;3;KIS Value;69,02;Actual;
1996;SI;SI033;Koroska;3;KIS Value;12,04;Actual;
1996;SI;SI034;Savinjska;3;KIS Value;44,32;Actual;
1996;SI;SI035;Zasavska;3;KIS Value;8,34;Actual;
