TERRITORY_ID,NAME_HTML,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,ln_gdppc_2000,ln_gdppc_2001,ln_gdppc_2002,ln_gdppc_2003,ln_gdppc_2004,ln_gdppc_2005,ln_gdppc_2006,ln_gdppc_2007,ln_gdppc_2008,ln_gdppc_2009,ln_gdppc_2010,ln_gdppc_2011,ln_gdppc_2012,ln_gdppc_2013,ln_gdppc_2014,ln_gdppc_2015,ln_gdppc_2016,ln_gdppc_2017,ln_gdppc_2018,ln_gdppc_2019,ln_gdppc_2020,ln_gdppc_2021,ln_gdppc_2022
HR034,Sibensko-kninska zupanija,5955.75,6017.14,6455.21,7120.44,7653.21,8291.01,8215.39,9206.94,8803.27,7535.49,8039.16,8067.71,7912.64,8179.94,8283.22,8469.27,8886.51,9626.6,9997.39,10473.89,9653.5,11082.47,12031.5,8.6921,8.7024,8.7726,8.8707,8.9429,9.0229,9.0138,9.1277,9.0829,8.9274,8.9921,8.9956,8.9762,9.0094,9.022,9.0442,9.0923,9.1723,9.2101,9.2566,9.1751,9.3131,9.3953
HR035,Splitsko-dalmatinska zupanija,6870.06,7122.64,7345.08,7741.88,8420.36,8436.99,8953.15,9766.0,9539.39,8713.13,8476.11,8236.44,7972.46,8050.3,8132.46,8467.5,8897.64,9255.64,9522.3,10251.77,8989.07,10565.84,11369.3,8.8349,8.871,8.9018,8.9544,9.0384,9.0404,9.0998,9.1867,9.1632,9.0726,9.045,9.0163,8.9837,8.9935,9.0036,9.044,9.0935,9.133,9.1614,9.2352,9.1038,9.2654,9.3387
HR036,Istarska zupanija,11116.47,11923.23,12646.59,13329.47,13847.28,13824.31,14207.33,14832.52,14340.9,13748.14,13449.07,13366.01,12760.37,12871.65,13185.12,13653.95,14612.5,15100.93,15219.97,15532.02,12562.32,15358.06,17053.13,9.3162,9.3862,9.4451,9.4977,9.5358,9.5342,9.5615,9.6046,9.5709,9.5287,9.5067,9.5005,9.4541,9.4628,9.4868,9.5218,9.5896,9.6225,9.6304,9.6507,9.4385,9.6394,9.7441
HR037,Dubrovacko-neretvanska zupanija,7601.35,7900.34,8062.53,8737.52,9666.59,10137.79,10661.65,12030.74,11681.28,10797.58,10396.9,10079.95,9972.24,10362.41,10650.71,11153.34,11853.98,12775.1,13011.67,13978.41,10435.61,13148.59,14701.74,8.9361,8.9747,8.995,9.0754,9.1764,9.224,9.2744,9.3952,9.3657,9.2871,9.2493,9.2183,9.2076,9.2459,9.2734,9.3195,9.3804,9.4553,9.4736,9.5453,9.253,9.4841,9.5957
HR050,Grad Zagreb,13218.04,14123.94,14906.1,16036.63,16812.88,17856.87,18667.5,19588.78,19903.93,18509.41,19464.7,19466.49,19202.13,18957.44,19064.9,19664.24,20398.15,21272.87,22175.28,23128.76,21535.97,24118.85,25452.12,9.4893,9.5556,9.6095,9.6826,9.7299,9.7901,9.8345,9.8827,9.8987,9.826,9.8764,9.8764,9.8628,9.85,9.8556,9.8866,9.9232,9.9652,10.0067,10.0488,9.9775,10.0907,10.1446
HR061,Međimurska županija,6406.22,6734.14,7339.87,7369.76,7482.28,7750.48,8458.98,8710.01,9436.6,8815.57,8331.28,8443.49,8231.83,9612.94,8627.07,8859.98,9393.64,9908.06,10331.2,10997.45,10678.36,12197.21,12865.09,8.765,8.8149,8.9011,8.9051,8.9203,8.9555,9.043,9.0722,9.1524,9.0843,9.0278,9.0412,9.0158,9.1709,9.0627,9.0893,9.1478,9.2011,9.2429,9.3054,9.276,9.409,9.4623
HR062,Varaždinska županija,7075.25,7543.43,8257.39,8436.46,8109.05,8346.46,8754.59,9113.47,9655.07,9067.57,8508.73,8533.89,8307.27,8529.55,8634.85,8948.06,9559.86,10222.38,11161.78,11612.21,11273.94,12324.85,13081.34,8.8644,8.9284,9.0189,9.0403,9.0007,9.0296,9.0773,9.1175,9.1752,9.1125,9.0488,9.0518,9.0249,9.0513,9.0636,9.0992,9.1653,9.2323,9.3203,9.3598,9.3302,9.4194,9.4789
HR063,Koprivničko-križevačka županija,8483.01,8552.58,8937.3,9049.89,8873.42,8673.78,9597.81,9883.98,9485.97,8785.65,8205.3,8215.99,7972.31,8096.9,8139.32,8314.38,8790.89,9083.38,9084.71,9727.74,9325.58,10441.28,10992.93,9.0458,9.054,9.098,9.1105,9.0908,9.0681,9.1693,9.1987,9.1576,9.0809,9.0125,9.0138,8.9837,8.9992,9.0045,9.0257,9.0815,9.1142,9.1143,9.1827,9.1405,9.2535,9.305
HR064,Krapinsko-zagorska županija,5827.53,6423.94,6411.77,6617.74,6618.69,7177.97,7271.03,7815.37,7546.62,6676.37,6181.98,6301.35,6164.76,6337.53,6575.46,6846.49,7362.12,7820.92,8100.35,8564.3,7910.92,8896.42,9465.77,8.6703,8.7678,8.7659,8.7975,8.7977,8.8788,8.8917,8.9638,8.9289,8.8063,8.7294,8.7485,8.7266,8.7542,8.7911,8.8315,8.9041,8.9646,8.9997,9.0554,8.976,9.0934,9.1554
HR065,Zagrebačka županija,6247.27,5851.5,6879.48,7044.08,7409.76,8081.0,7903.12,8606.52,8846.79,8337.29,7748.65,7963.18,7831.54,7842.58,7967.1,8292.09,8622.62,9195.11,9801.92,10320.86,10055.87,11487.18,12180.49,8.7399,8.6745,8.8363,8.8599,8.9106,8.9973,8.975,9.0603,9.0878,9.0285,8.9553,8.9826,8.9659,8.9673,8.9831,9.0231,9.0621,9.1264,9.1903,9.2419,9.2159,9.349,9.4076
