TERRITORY_ID,NAME_HTML,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,ln_gdppc_2000,ln_gdppc_2001,ln_gdppc_2002,ln_gdppc_2003,ln_gdppc_2004,ln_gdppc_2005,ln_gdppc_2006,ln_gdppc_2007,ln_gdppc_2008,ln_gdppc_2009,ln_gdppc_2010,ln_gdppc_2011,ln_gdppc_2012,ln_gdppc_2013,ln_gdppc_2014,ln_gdppc_2015,ln_gdppc_2016,ln_gdppc_2017,ln_gdppc_2018,ln_gdppc_2019,ln_gdppc_2020,ln_gdppc_2021,ln_gdppc_2022
RS227,Подунавска област,1758.68,1661.7,1754.69,1649.46,1787.7,1883.92,2141.58,2042.57,2227.1,2142.51,2345.58,2597.49,2340.37,2273.17,2178.22,2127.2,2235.54,2524.19,3025.67,2640.14,3208.31,3783.26,4115.28,7.4723,7.4156,7.47,7.4082,7.4887,7.5411,7.6693,7.622,7.7085,7.6697,7.7603,7.8623,7.7581,7.7289,7.6863,7.6626,7.7122,7.8337,8.0149,7.8786,8.0735,8.2383,8.3225
RS228,Пчињска област,2549.87,2407.77,2290.77,2351.41,2080.08,2040.6,2219.58,2206.42,2273.99,2196.1,2166.63,2296.78,2218.32,2169.66,2167.17,2340.81,2335.25,2444.76,2602.51,2750.6,2616.9,3018.08,3230.29,7.8438,7.7865,7.7366,7.7628,7.6402,7.621,7.7051,7.6991,7.7293,7.6944,7.6809,7.7393,7.7045,7.6823,7.6812,7.7583,7.7559,7.8017,7.8642,7.9196,7.8697,8.0124,8.0803
RS229,Топличка област,1944.24,1984.63,2050.45,1968.33,1982.04,1787.43,1858.0,1856.71,1977.01,2163.48,2088.55,2604.81,2457.28,2822.37,2752.23,2862.37,2994.32,3118.77,3306.82,3465.14,3214.33,3627.58,3982.54,7.5726,7.5932,7.6258,7.5849,7.5919,7.4885,7.5273,7.5266,7.5893,7.6795,7.6442,7.8651,7.8068,7.9453,7.9202,7.9594,8.0045,8.0452,8.1037,8.1505,8.0754,8.1963,8.2897
SI031,Pomurska,10319.14,10565.76,10821.95,10849.96,11415.79,11626.65,12007.2,12681.96,12965.44,11978.27,12080.12,12466.22,12252.95,12285.47,12637.16,12666.38,13214.78,13774.29,14380.83,14772.69,14284.09,15308.95,15667.25,9.2418,9.2654,9.2893,9.2919,9.3428,9.3611,9.3933,9.4479,9.47,9.3908,9.3993,9.4308,9.4135,9.4162,9.4444,9.4467,9.4891,9.5306,9.5737,9.6005,9.5669,9.6362,9.6593
SI032,Podravska,12072.92,12445.53,13075.38,13193.27,13865.24,14388.69,15292.72,16379.76,16966.49,15470.9,15528.06,15676.99,15149.33,14862.77,15410.45,15549.32,15893.37,16488.69,17077.76,17780.07,16891.69,18382.31,18604.53,9.3987,9.4291,9.4785,9.4875,9.5371,9.5742,9.6351,9.7038,9.739,9.6467,9.6504,9.6599,9.6257,9.6066,9.6428,9.6518,9.6737,9.7104,9.7455,9.7858,9.7346,9.8191,9.8312
SI033,Koroska,12423.01,12944.2,12866.03,12877.84,13321.14,13890.92,14299.86,15341.74,15708.01,13829.14,14008.25,14544.33,14472.88,14380.21,14805.32,15317.98,15764.57,16326.79,17192.59,17607.19,16502.19,17401.64,17682.18,9.4273,9.4684,9.4623,9.4633,9.4971,9.539,9.568,9.6383,9.6619,9.5345,9.5474,9.585,9.58,9.5736,9.6027,9.6368,9.6655,9.7006,9.7522,9.7761,9.7112,9.7643,9.7803
SI034,Savinjska,13278.99,13457.59,14112.31,14273.49,14924.31,15575.58,16175.92,17345.08,18274.4,16501.79,17054.31,17346.89,16804.71,16446.21,16871.83,17405.81,17852.24,18658.46,19170.51,19736.59,18379.4,19945.9,20220.9,9.4939,9.5073,9.5548,9.5662,9.6107,9.6535,9.6913,9.7611,9.8133,9.7112,9.7442,9.7612,9.7294,9.7079,9.7334,9.7646,9.7899,9.8341,9.8611,9.8902,9.819,9.9008,9.9145
SI035,Zasavska,10485.9,10469.15,10351.99,10318.67,10665.34,11158.91,11412.57,11926.48,12366.33,11243.26,11495.78,11424.46,10750.77,10621.79,10480.72,10213.65,10391.44,10716.16,11087.57,11544.26,11256.55,11982.79,12310.39,9.2578,9.2562,9.2449,9.2417,9.2748,9.32,9.3425,9.3865,9.4227,9.3275,9.3497,9.3435,9.2827,9.2707,9.2573,9.2315,9.2487,9.2795,9.3136,9.3539,9.3287,9.3912,9.4182
SI036,Posavska,12452.91,12745.59,13372.82,12758.21,13316.28,14158.12,14628.12,15651.63,16265.51,15098.68,15305.02,15582.89,15158.37,15061.83,15448.54,15792.18,16254.13,16928.79,17603.66,18441.95,18190.06,19110.35,17864.59,9.4297,9.4529,9.501,9.4539,9.4967,9.558,9.5907,9.6583,9.6968,9.6224,9.6359,9.6539,9.6263,9.6199,9.6453,9.6673,9.6961,9.7368,9.7759,9.8224,9.8086,9.858,9.7906
SI037,Jugovzhodna Slovenija,14468.78,14710.14,15265.59,15579.08,16507.53,16772.11,18115.94,19344.8,19785.51,17671.44,18000.42,18006.03,17248.21,17130.34,17555.71,17947.6,18316.05,19868.27,20794.37,21794.43,20701.86,21615.84,21407.8,9.5797,9.5963,9.6334,9.6537,9.7116,9.7275,9.8045,9.8702,9.8927,9.7797,9.7982,9.7985,9.7555,9.7486,9.7731,9.7952,9.8155,9.8969,9.9424,9.9894,9.938,9.9812,9.9715
SI038,Primorsko-notranjska,11966.73,11910.87,12241.68,12273.8,12695.33,12883.41,13461.16,14492.64,14874.47,13649.09,13376.72,13311.08,12721.21,12818.8,13343.49,14050.61,14547.53,14773.51,15234.91,15205.45,14334.09,15975.98,15876.08,9.3899,9.3852,9.4126,9.4152,9.449,9.4637,9.5076,9.5814,9.6074,9.5214,9.5013,9.4964,9.451,9.4587,9.4988,9.5504,9.5852,9.6006,9.6313,9.6294,9.5704,9.6788,9.6726
SI041,Osrednjeslovenska,20393.32,21224.83,21900.38,23256.54,24177.9,25201.12,26793.87,28321.8,28778.61,26774.35,26680.02,26711.93,26139.24,25658.77,26175.08,26540.16,27465.8,28538.29,29796.84,30552.22,29882.27,32717.1,33246.58,9.923,9.9629,9.9943,10.0543,10.0932,10.1346,10.1959,10.2514,10.2674,10.1952,10.1917,10.1929,10.1712,10.1526,10.1726,10.1864,10.2207,10.259,10.3022,10.3272,10.305,10.3957,10.4117
SI042,Gorenjska,12941.06,13490.79,13839.53,14105.64,14726.68,15003.52,15440.97,16540.19,16821.64,14823.62,15199.11,15388.24,15077.86,15422.86,16170.86,16630.06,17039.13,18139.15,18996.86,19481.74,17415.31,18426.53,20056.92,9.4682,9.5098,9.5353,9.5543,9.5974,9.616,9.6448,9.7135,9.7304,9.604,9.629,9.6414,9.621,9.6436,9.691,9.719,9.7433,9.8058,9.852,9.8772,9.7651,9.8215,9.9063
SI043,Goriska,14236.82,14681.42,15067.07,15227.2,15616.9,16172.19,16831.67,18489.25,18974.36,17203.83,17212.43,17105.22,16488.34,16298.72,16694.55,17276.03,17898.26,18756.05,19152.05,19395.71,18082.99,19615.71,20415.26,9.5636,9.5943,9.6203,9.6308,9.6561,9.691,9.731,9.8249,9.8508,9.7529,9.7534,9.7471,9.7104,9.6988,9.7228,9.7571,9.7925,9.8393,9.8602,9.8728,9.8027,9.8841,9.924
SI044,Obalno-kraska,15535.4,15910.27,16476.73,16912.31,17517.14,18012.35,19075.57,20492.69,21272.88,19688.61,19944.0,19641.67,18292.11,17618.11,17973.21,18795.93,19366.66,20784.31,21687.54,21427.34,19117.24,20029.53,22070.74,9.6509,9.6747,9.7097,9.7358,9.7709,9.7988,9.8562,9.9278,9.9652,9.8878,9.9007,9.8854,9.8142,9.7767,9.7966,9.8414,9.8713,9.942,9.9845,9.9724,9.8583,9.905,10.002
XK000,Kosovo,2239.098046103992,2341.2975419842574,2271.444014497073,2289.6816349740225,2170.965048850482,2241.1626823844017,2288.9934228805528,2444.8734620514624,2057.0,2066.0,2271.0,2528.0,2655.0,2794.0,2950.0,3202.0,3368.0,3534.0,3715.0,3959.0,3772.0,4486.0,5048.0,7.7138,7.7585,7.7282,7.7362,7.6829,7.7148,7.7359,7.8017,7.629,7.6334,7.728,7.8352,7.8842,7.9352,7.9896,8.0715,8.1221,8.1702,8.2201,8.2837,8.2354,8.4087,8.5267
BA3,Brčko,3302.251762628287,3368.3698116773485,3533.4621181986254,3046.61583,3852.073022,4053.163166,4045.447455,5070.664291,5752.575763,5341.386322,5046.942509,5601.527039,5165.84885,5448.78271,5782.729227,5199.874703,5010.932936,5299.892458,5721.716947,6031.821603,6045.947982062968,6585.844443929845,6934.282506096372,8.1024,8.1222,8.17,8.0218,8.2564,8.3073,8.3053,8.5312,8.6574,8.5832,8.5265,8.6308,8.5498,8.6031,8.6626,8.5564,8.5194,8.5754,8.652,8.7048,8.7071,8.7927,8.8442
BA2,Federacija Bosna i Hercegovina,2873.9041565190287,2931.909561512991,3075.503361288253,2651.608446,3069.205005,3186.589996,3561.419995,4340.760756,5226.428221,4758.009131,4640.681283,4967.692454,4636.925386,4845.868695,5039.151243,4373.491738,5012.892526,5378.878098,6043.850748,6061.808256,6075.964765066836,6618.700652352998,6968.761243330545,7.9634,7.9834,8.0312,7.8829,8.0292,8.0667,8.1779,8.3758,8.5615,8.4676,8.4426,8.5107,8.4418,8.4859,8.525,8.3833,8.5198,8.5902,8.7068,8.7098,8.7121,8.7977,8.8492
BA1,Repuplika Srpska,2616.3277077696166,2669.059894127764,2800.0790956176224,2414.026871,2928.22858,3210.155782,3658.607169,4414.734858,5329.418795,4799.929486,4513.065798,4839.324621,4337.702616,4481.956638,4432.981661,3758.206329,4705.740461,5036.255896,5614.973973,5636.667516,5650.050952174108,6154.251780198547,6479.974439010795,7.8695,7.8895,7.9374,7.7891,7.9822,8.0741,8.2048,8.3927,8.581,8.4764,8.4147,8.4845,8.3751,8.4078,8.3968,8.2317,8.4565,8.5244,8.6332,8.637,8.6394,8.7249,8.7765
